osmid,geometry,amenity,capacity,divvy:id,name,operator,element_type,network,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,brand,brand:wikidata,brand:wikipedia,opening_hours,shop,payment:credit_cards,payment:app,payment:subscription
2480304982,POINT (-87.6748879 41.8814178),bicycle_rental,15,215,Damen Ave & Madison St,Divvy,node,,,,,,,,,,,,,,
2480304987,POINT (-87.6785 41.9406),bicycle_rental,11,228,Damen Ave & Melrose Ave,Divvy,node,,,,,,,,,,,,,,
2480304991,POINT (-87.679258 41.96325),bicycle_rental,19,316,Damen Ave & Sunnyside Ave,Divvy,node,,,,,,,,,,,,,,
2480304996,POINT (-87.67842 41.93588),bicycle_rental,15,162,Damen Ave & Wellington Ave,Divvy,node,,,,,,,,,,,,,,
2480305000,POINT (-87.62992800000001 41.899007),bicycle_rental,19,140,Dearborn Pkwy & Delaware Pl,Divvy,node,,,,,,,,,,,,,,
2480305004,POINT (-87.63625 41.932684),bicycle_rental,15,329,Lake Shore Dr & Diversey Pkwy,Divvy,node,,,,,,,,,,,,,,
2480305018,POINT (-87.645368 41.84358),bicycle_rental,15,207,Emerald Ave & 28th St,Divvy,node,,,,,,,,,,,,,,
2480305022,POINT (-87.645143 41.838198),bicycle_rental,11,339,Emerald Ave & 31st St,Divvy,node,,,,,,,,,,,,,,
2480305027,POINT (-87.6081885 41.838504),bicycle_rental,11,150,Fort Dearborn Dr & 31st St,Divvy,node,,,,,,,,,,,,,,
2480305033,POINT (-87.63549999999999 41.885837),bicycle_rental,23,164,Franklin St & Lake St,Divvy,node,,,,,,,,,,,,,,
2480305039,POINT (-87.648684 41.884078),bicycle_rental,15,112,Green St & Randolph St,Divvy,node,,,,,,,,,,,,,,
2480305043,POINT (-87.66593899999999 41.932595),bicycle_rental,15,319,Greenview Ave & Diversey Pkwy,Divvy,node,,,,,,,,,,,,,,
